PassengerId,Survived,Sex,Age,SibSp,Parch,Fare,FamilySize,Embarked_Q,Embarked_S,Pclass,Embarked_C,Family Size
52,0,,21.0,0,0,7.8,0,0,1,3,0,1
53,1,,49.0,1,0,76.7292,1,0,0,3,0,2
54,1,,29.0,1,0,26.0,1,0,1,2,0,2
55,0,,65.0,0,1,61.9792,1,0,0,3,0,2
56,1,,29.69911764705882,0,0,35.5,0,0,1,3,0,1
57,1,,21.0,0,0,10.5,0,0,1,2,0,1
58,0,,28.5,0,0,7.2292,0,0,0,3,0,1
59,1,,5.0,1,2,27.75,3,0,1,2,0,4
60,0,,11.0,5,2,46.9,7,0,1,3,0,8
61,0,,22.0,0,0,7.2292,0,0,0,3,0,1
62,1,,38.0,0,0,80.0,0,0,1,3,0,1
63,0,,45.0,1,0,83.475,1,0,1,3,0,2
64,0,,4.0,3,2,27.9,5,0,1,3,0,6
65,0,,29.69911764705882,0,0,27.7208,0,0,0,3,0,1
66,1,,29.69911764705882,1,1,15.2458,2,0,0,3,0,3
67,1,,29.0,0,0,10.5,0,0,1,2,0,1
68,0,,19.0,0,0,8.1583,0,0,1,3,0,1
69,1,,17.0,4,2,7.925,6,0,1,3,0,7
70,0,,26.0,2,0,8.6625,2,0,1,3,0,3
71,0,,32.0,0,0,10.5,0,0,1,2,0,1
72,0,,16.0,5,2,46.9,7,0,1,3,0,8
73,0,,21.0,0,0,73.5,0,0,1,2,0,1
74,0,,26.0,1,0,14.4542,1,0,0,3,0,2
75,1,,32.0,0,0,56.4958,0,0,1,3,0,1
76,0,,25.0,0,0,7.65,0,0,1,3,0,1
77,0,,29.69911764705882,0,0,7.8958,0,0,1,3,0,1
78,0,,29.69911764705882,0,0,8.05,0,0,1,3,0,1
79,1,,0.83,0,2,29.0,2,0,1,2,0,3
80,1,,30.0,0,0,12.475,0,0,1,3,0,1
81,0,,22.0,0,0,9.0,0,0,1,3,0,1
82,1,,29.0,0,0,9.5,0,0,1,3,0,1
83,1,,29.69911764705882,0,0,7.7875,0,1,0,3,0,1
84,0,,28.0,0,0,47.1,0,0,1,3,0,1
85,1,,17.0,0,0,10.5,0,0,1,2,0,1
86,1,,33.0,3,0,15.85,3,0,1,3,0,4
87,0,,16.0,1,3,34.375,4,0,1,3,0,5
88,0,,29.69911764705882,0,0,8.05,0,0,1,3,0,1
89,1,,23.0,3,2,263.0,5,0,1,3,0,6
90,0,,24.0,0,0,8.05,0,0,1,3,0,1
91,0,,29.0,0,0,8.05,0,0,1,3,0,1
92,0,,20.0,0,0,7.8542,0,0,1,3,0,1
93,0,,46.0,1,0,61.175,1,0,1,3,0,2
94,0,,26.0,1,2,20.575,3,0,1,3,0,4
95,0,,59.0,0,0,7.25,0,0,1,3,0,1
96,0,,29.69911764705882,0,0,8.05,0,0,1,3,0,1
97,0,,71.0,0,0,34.6542,0,0,0,3,0,1
98,1,,23.0,0,1,63.3583,1,0,0,3,0,2
99,1,,34.0,0,1,23.0,1,0,1,2,0,2
100,0,,34.0,1,0,26.0,1,0,1,2,0,2
101,0,,28.0,0,0,7.8958,0,0,1,3,0,1
102,0,,29.69911764705882,0,0,7.8958,0,0,1,3,0,1
103,0,,21.0,0,1,77.2875,1,0,1,3,0,2
104,0,,33.0,0,0,8.6542,0,0,1,3,0,1
105,0,,37.0,2,0,7.925,2,0,1,3,0,3
106,0,,28.0,0,0,7.8958,0,0,1,3,0,1
107,1,,21.0,0,0,7.65,0,0,1,3,0,1
108,1,,29.69911764705882,0,0,7.775,0,0,1,3,0,1
109,0,,38.0,0,0,7.8958,0,0,1,3,0,1
110,1,,29.69911764705882,1,0,24.15,1,1,0,3,0,2
111,0,,47.0,0,0,52.0,0,0,1,3,0,1
112,0,,14.5,1,0,14.4542,1,0,0,3,0,2
113,0,,22.0,0,0,8.05,0,0,1,3,0,1
114,0,,20.0,1,0,9.825,1,0,1,3,0,2
115,0,,17.0,0,0,14.4583,0,0,0,3,0,1
116,0,,21.0,0,0,7.925,0,0,1,3,0,1
117,0,,70.5,0,0,7.75,0,1,0,3,0,1
118,0,,29.0,1,0,21.0,1,0,1,2,0,2
119,0,,24.0,0,1,247.5208,1,0,0,3,0,2
120,0,,2.0,4,2,31.275,6,0,1,3,0,7
121,0,,21.0,2,0,73.5,2,0,1,2,0,3
122,0,,29.69911764705882,0,0,8.05,0,0,1,3,0,1
123,0,,32.5,1,0,30.0708,1,0,0,2,0,2
124,1,,32.5,0,0,13.0,0,0,1,2,0,1
125,0,,54.0,0,1,77.2875,1,0,1,3,0,2
126,1,,12.0,1,0,11.2417,1,0,0,3,0,2
127,0,,29.69911764705882,0,0,7.75,0,1,0,3,0,1
128,1,,24.0,0,0,7.1417,0,0,1,3,0,1
129,1,,29.69911764705882,1,1,22.3583,2,0,0,3,0,3
130,0,,45.0,0,0,6.975,0,0,1,3,0,1
131,0,,33.0,0,0,7.8958,0,0,0,3,0,1
132,0,,20.0,0,0,7.05,0,0,1,3,0,1
133,0,,47.0,1,0,14.5,1,0,1,3,0,2
134,1,,29.0,1,0,26.0,1,0,1,2,0,2
135,0,,25.0,0,0,13.0,0,0,1,2,0,1
136,0,,23.0,0,0,15.0458,0,0,0,2,0,1
137,1,,19.0,0,2,26.2833,2,0,1,3,0,3
138,0,,37.0,1,0,53.1,1,0,1,3,0,2
139,0,,16.0,0,0,9.2167,0,0,1,3,0,1
140,0,,24.0,0,0,79.2,0,0,0,3,0,1
141,0,,29.69911764705882,0,2,15.2458,2,0,0,3,0,3
142,1,,22.0,0,0,7.75,0,0,1,3,0,1
143,1,,24.0,1,0,15.85,1,0,1,3,0,2
144,0,,19.0,0,0,6.75,0,1,0,3,0,1
145,0,,18.0,0,0,11.5,0,0,1,2,0,1
146,0,,19.0,1,1,36.75,2,0,1,2,0,3
147,1,,27.0,0,0,7.7958,0,0,1,3,0,1
148,0,,9.0,2,2,34.375,4,0,1,3,0,5
149,0,,36.5,0,2,26.0,2,0,1,2,0,3
150,0,,42.0,0,0,13.0,0,0,1,2,0,1
151,0,,51.0,0,0,12.525,0,0,1,2,0,1
152,1,,22.0,1,0,66.6,1,0,1,3,0,2
153,0,,55.5,0,0,8.05,0,0,1,3,0,1
154,0,,40.5,0,2,14.5,2,0,1,3,0,3
155,0,,29.69911764705882,0,0,7.3125,0,0,1,3,0,1
156,0,,51.0,0,1,61.3792,1,0,0,3,0,2
157,1,,16.0,0,0,7.7333,0,1,0,3,0,1
158,0,,30.0,0,0,8.05,0,0,1,3,0,1
159,0,,29.69911764705882,0,0,8.6625,0,0,1,3,0,1
160,0,,29.69911764705882,8,2,69.55,10,0,1,3,0,11
161,0,,44.0,0,1,16.1,1,0,1,3,0,2
162,1,,40.0,0,0,15.75,0,0,1,2,0,1
163,0,,26.0,0,0,7.775,0,0,1,3,0,1
164,0,,17.0,0,0,8.6625,0,0,1,3,0,1
165,0,,1.0,4,1,39.6875,5,0,1,3,0,6
166,1,,9.0,0,2,20.525,2,0,1,3,0,3
167,1,,29.69911764705882,0,1,55.0,1,0,1,3,0,2
168,0,,45.0,1,4,27.9,5,0,1,3,0,6
169,0,,29.69911764705882,0,0,25.925,0,0,1,3,0,1
170,0,,28.0,0,0,56.4958,0,0,1,3,0,1
171,0,,61.0,0,0,33.5,0,0,1,3,0,1
172,0,,4.0,4,1,29.125,5,1,0,3,0,6
173,1,,1.0,1,1,11.1333,2,0,1,3,0,3
174,0,,21.0,0,0,7.925,0,0,1,3,0,1
175,0,,56.0,0,0,30.6958,0,0,0,3,0,1
176,0,,18.0,1,1,7.8542,2,0,1,3,0,3
177,0,,29.69911764705882,3,1,25.4667,4,0,1,3,0,5
178,0,,50.0,0,0,28.7125,0,0,0,3,0,1
179,0,,30.0,0,0,13.0,0,0,1,2,0,1
180,0,,36.0,0,0,0.0,0,0,1,3,0,1
181,0,,29.69911764705882,8,2,69.55,10,0,1,3,0,11
182,0,,29.69911764705882,0,0,15.05,0,0,0,2,0,1
183,0,,9.0,4,2,31.3875,6,0,1,3,0,7
184,1,,1.0,2,1,39.0,3,0,1,2,0,4
185,1,,4.0,0,2,22.025,2,0,1,3,0,3
186,0,,29.69911764705882,0,0,50.0,0,0,1,3,0,1
187,1,,29.69911764705882,1,0,15.5,1,1,0,3,0,2
188,1,,45.0,0,0,26.55,0,0,1,3,0,1
189,0,,40.0,1,1,15.5,2,1,0,3,0,3
190,0,,36.0,0,0,7.8958,0,0,1,3,0,1
191,1,,32.0,0,0,13.0,0,0,1,2,0,1
192,0,,19.0,0,0,13.0,0,0,1,2,0,1
193,1,,19.0,1,0,7.8542,1,0,1,3,0,2
194,1,,3.0,1,1,26.0,2,0,1,2,0,3
195,1,,44.0,0,0,27.7208,0,0,0,3,0,1
196,1,,58.0,0,0,146.5208,0,0,0,3,0,1
197,0,,29.69911764705882,0,0,7.75,0,1,0,3,0,1
198,0,,42.0,0,1,8.4042,1,0,1,3,0,2
199,1,,29.69911764705882,0,0,7.75,0,1,0,3,0,1
200,0,,24.0,0,0,13.0,0,0,1,2,0,1
201,0,,28.0,0,0,9.5,0,0,1,3,0,1
202,0,,29.69911764705882,8,2,69.55,10,0,1,3,0,11
203,0,,34.0,0,0,6.4958,0,0,1,3,0,1
204,0,,45.5,0,0,7.225,0,0,0,3,0,1
205,1,,18.0,0,0,8.05,0,0,1,3,0,1
206,0,,2.0,0,1,10.4625,1,0,1,3,0,2
207,0,,32.0,1,0,15.85,1,0,1,3,0,2
208,1,,26.0,0,0,18.7875,0,0,0,3,0,1
209,1,,16.0,0,0,7.75,0,1,0,3,0,1
210,1,,40.0,0,0,31.0,0,0,0,3,0,1
211,0,,24.0,0,0,7.05,0,0,1,3,0,1
212,1,,35.0,0,0,21.0,0,0,1,2,0,1
213,0,,22.0,0,0,7.25,0,0,1,3,0,1
214,0,,30.0,0,0,13.0,0,0,1,2,0,1
215,0,,29.69911764705882,1,0,7.75,1,1,0,3,0,2
216,1,,31.0,1,0,113.275,1,0,0,3,0,2
217,1,,27.0,0,0,7.925,0,0,1,3,0,1
218,0,,42.0,1,0,27.0,1,0,1,2,0,2
219,1,,32.0,0,0,76.2917,0,0,0,3,0,1
220,0,,30.0,0,0,10.5,0,0,1,2,0,1
221,1,,16.0,0,0,8.05,0,0,1,3,0,1
222,0,,27.0,0,0,13.0,0,0,1,2,0,1
223,0,,51.0,0,0,8.05,0,0,1,3,0,1
224,0,,29.69911764705882,0,0,7.8958,0,0,1,3,0,1
225,1,,38.0,1,0,90.0,1,0,1,3,0,2
226,0,,22.0,0,0,9.35,0,0,1,3,0,1
227,1,,19.0,0,0,10.5,0,0,1,2,0,1
228,0,,20.5,0,0,7.25,0,0,1,3,0,1
229,0,,18.0,0,0,13.0,0,0,1,2,0,1
230,0,,29.69911764705882,3,1,25.4667,4,0,1,3,0,5
231,1,,35.0,1,0,83.475,1,0,1,3,0,2
232,0,,29.0,0,0,7.775,0,0,1,3,0,1
233,0,,59.0,0,0,13.5,0,0,1,2,0,1
234,1,,5.0,4,2,31.3875,6,0,1,3,0,7
235,0,,24.0,0,0,10.5,0,0,1,2,0,1
236,0,,29.69911764705882,0,0,7.55,0,0,1,3,0,1
237,0,,44.0,1,0,26.0,1,0,1,2,0,2
238,1,,8.0,0,2,26.25,2,0,1,2,0,3
239,0,,19.0,0,0,10.5,0,0,1,2,0,1
240,0,,33.0,0,0,12.275,0,0,1,2,0,1
241,0,,29.69911764705882,1,0,14.4542,1,0,0,3,0,2
242,1,,29.69911764705882,1,0,15.5,1,1,0,3,0,2
243,0,,29.0,0,0,10.5,0,0,1,2,0,1
244,0,,22.0,0,0,7.125,0,0,1,3,0,1
245,0,,30.0,0,0,7.225,0,0,0,3,0,1
246,0,,44.0,2,0,90.0,2,1,0,3,0,3
247,0,,25.0,0,0,7.775,0,0,1,3,0,1
248,1,,24.0,0,2,14.5,2,0,1,2,0,3
249,1,,37.0,1,1,52.5542,2,0,1,3,0,3
250,0,,54.0,1,0,26.0,1,0,1,2,0,2
251,0,,29.69911764705882,0,0,7.25,0,0,1,3,0,1
252,0,,29.0,1,1,10.4625,2,0,1,3,0,3
253,0,,62.0,0,0,26.55,0,0,1,3,0,1
254,0,,30.0,1,0,16.1,1,0,1,3,0,2
255,0,,41.0,0,2,20.2125,2,0,1,3,0,3
256,1,,29.0,0,2,15.2458,2,0,0,3,0,3
257,1,,29.69911764705882,0,0,79.2,0,0,0,3,0,1
258,1,,30.0,0,0,86.5,0,0,1,3,0,1
259,1,,35.0,0,0,512.3292,0,0,0,3,0,1
260,1,,50.0,0,1,26.0,1,0,1,2,0,2
261,0,,29.69911764705882,0,0,7.75,0,1,0,3,0,1
262,1,,3.0,4,2,31.3875,6,0,1,3,0,7
263,0,,52.0,1,1,79.65,2,0,1,3,0,3
264,0,,40.0,0,0,0.0,0,0,1,3,0,1
265,0,,29.69911764705882,0,0,7.75,0,1,0,3,0,1
266,0,,36.0,0,0,10.5,0,0,1,2,0,1
267,0,,16.0,4,1,39.6875,5,0,1,3,0,6
268,1,,25.0,1,0,7.775,1,0,1,3,0,2
269,1,,58.0,0,1,153.4625,1,0,1,3,0,2
270,1,,35.0,0,0,135.6333,0,0,1,3,0,1
271,0,,29.69911764705882,0,0,31.0,0,0,1,3,0,1
272,1,,25.0,0,0,0.0,0,0,1,3,0,1
273,1,,41.0,0,1,19.5,1,0,1,2,0,2
274,0,,37.0,0,1,29.7,1,0,0,3,0,2
275,1,,29.69911764705882,0,0,7.75,0,1,0,3,0,1
276,1,,63.0,1,0,77.9583,1,0,1,3,0,2
277,0,,45.0,0,0,7.75,0,0,1,3,0,1
278,0,,29.69911764705882,0,0,0.0,0,0,1,2,0,1
279,0,,7.0,4,1,29.125,5,1,0,3,0,6
280,1,,35.0,1,1,20.25,2,0,1,3,0,3
281,0,,65.0,0,0,7.75,0,1,0,3,0,1
282,0,,28.0,0,0,7.8542,0,0,1,3,0,1
283,0,,16.0,0,0,9.5,0,0,1,3,0,1
284,1,,19.0,0,0,8.05,0,0,1,3,0,1
285,0,,29.69911764705882,0,0,26.0,0,0,1,3,0,1
286,0,,33.0,0,0,8.6625,0,0,0,3,0,1
287,1,,30.0,0,0,9.5,0,0,1,3,0,1
288,0,,22.0,0,0,7.8958,0,0,1,3,0,1
289,1,,42.0,0,0,13.0,0,0,1,2,0,1
290,1,,22.0,0,0,7.75,0,1,0,3,0,1
291,1,,26.0,0,0,78.85,0,0,1,3,0,1
292,1,,19.0,1,0,91.0792,1,0,0,3,0,2
293,0,,36.0,0,0,12.875,0,0,0,2,0,1
294,0,,24.0,0,0,8.85,0,0,1,3,0,1
295,0,,24.0,0,0,7.8958,0,0,1,3,0,1
296,0,,29.69911764705882,0,0,27.7208,0,0,0,3,0,1
297,0,,23.5,0,0,7.2292,0,0,0,3,0,1
298,0,,2.0,1,2,151.55,3,0,1,3,0,4
299,1,,29.69911764705882,0,0,30.5,0,0,1,3,0,1
300,1,,50.0,0,1,247.5208,1,0,0,3,0,2
301,1,,29.69911764705882,0,0,7.75,0,1,0,3,0,1
302,1,,29.69911764705882,2,0,23.25,2,1,0,3,0,3
303,0,,19.0,0,0,0.0,0,0,1,3,0,1
304,1,,29.69911764705882,0,0,12.35,0,1,0,2,0,1
305,0,,29.69911764705882,0,0,8.05,0,0,1,3,0,1
306,1,,0.92,1,2,151.55,3,0,1,3,0,4
307,1,,29.69911764705882,0,0,110.8833,0,0,0,3,0,1
308,1,,17.0,1,0,108.9,1,0,0,3,0,2
309,0,,30.0,1,0,24.0,1,0,0,2,0,2
310,1,,30.0,0,0,56.9292,0,0,0,3,0,1
311,1,,24.0,0,0,83.1583,0,0,0,3,0,1
312,1,,18.0,2,2,262.375,4,0,0,3,0,5
313,0,,26.0,1,1,26.0,2,0,1,2,0,3
314,0,,28.0,0,0,7.8958,0,0,1,3,0,1
315,0,,43.0,1,1,26.25,2,0,1,2,0,3
316,1,,26.0,0,0,7.8542,0,0,1,3,0,1
317,1,,24.0,1,0,26.0,1,0,1,2,0,2
318,0,,54.0,0,0,14.0,0,0,1,2,0,1
319,1,,31.0,0,2,164.8667,2,0,1,3,0,3
320,1,,40.0,1,1,134.5,2,0,0,3,0,3
321,0,,22.0,0,0,7.25,0,0,1,3,0,1
322,0,,27.0,0,0,7.8958,0,0,1,3,0,1
323,1,,30.0,0,0,12.35,0,1,0,2,0,1
324,1,,22.0,1,1,29.0,2,0,1,2,0,3
325,0,,29.69911764705882,8,2,69.55,10,0,1,3,0,11
326,1,,36.0,0,0,135.6333,0,0,0,3,0,1
327,0,,61.0,0,0,6.2375,0,0,1,3,0,1
328,1,,36.0,0,0,13.0,0,0,1,2,0,1
329,1,,31.0,1,1,20.525,2,0,1,3,0,3
330,1,,16.0,0,1,57.9792,1,0,0,3,0,2
331,1,,29.69911764705882,2,0,23.25,2,1,0,3,0,3
332,0,,45.5,0,0,28.5,0,0,1,3,0,1
333,0,,38.0,0,1,153.4625,1,0,1,3,0,2
334,0,,16.0,2,0,18.0,2,0,1,3,0,3
335,1,,29.69911764705882,1,0,133.65,1,0,1,3,0,2
336,0,,29.69911764705882,0,0,7.8958,0,0,1,3,0,1
337,0,,29.0,1,0,66.6,1,0,1,3,0,2
338,1,,41.0,0,0,134.5,0,0,0,3,0,1
339,1,,45.0,0,0,8.05,0,0,1,3,0,1
340,0,,45.0,0,0,35.5,0,0,1,3,0,1
341,1,,2.0,1,1,26.0,2,0,1,2,0,3
342,1,,24.0,3,2,263.0,5,0,1,3,0,6
343,0,,28.0,0,0,13.0,0,0,1,2,0,1
344,0,,25.0,0,0,13.0,0,0,1,2,0,1
345,0,,36.0,0,0,13.0,0,0,1,2,0,1
346,1,,24.0,0,0,13.0,0,0,1,2,0,1
347,1,,40.0,0,0,13.0,0,0,1,2,0,1
348,1,,29.69911764705882,1,0,16.1,1,0,1,3,0,2
349,1,,3.0,1,1,15.9,2,0,1,3,0,3
350,0,,42.0,0,0,8.6625,0,0,1,3,0,1
351,0,,23.0,0,0,9.225,0,0,1,3,0,1
352,0,,29.69911764705882,0,0,35.0,0,0,1,3,0,1
353,0,,15.0,1,1,7.2292,2,0,0,3,0,3
354,0,,25.0,1,0,17.8,1,0,1,3,0,2
355,0,,29.69911764705882,0,0,7.225,0,0,0,3,0,1
356,0,,28.0,0,0,9.5,0,0,1,3,0,1
357,1,,22.0,0,1,55.0,1,0,1,3,0,2
358,0,,38.0,0,0,13.0,0,0,1,2,0,1
359,1,,29.69911764705882,0,0,7.8792,0,1,0,3,0,1
360,1,,29.69911764705882,0,0,7.8792,0,1,0,3,0,1
361,0,,40.0,1,4,27.9,5,0,1,3,0,6
362,0,,29.0,1,0,27.7208,1,0,0,2,0,2
363,0,,45.0,0,1,14.4542,1,0,0,3,0,2
364,0,,35.0,0,0,7.05,0,0,1,3,0,1
365,0,,29.69911764705882,1,0,15.5,1,1,0,3,0,2
366,0,,30.0,0,0,7.25,0,0,1,3,0,1
367,1,,60.0,1,0,75.25,1,0,0,3,0,2
368,1,,29.69911764705882,0,0,7.2292,0,0,0,3,0,1
369,1,,29.69911764705882,0,0,7.75,0,1,0,3,0,1
370,1,,24.0,0,0,69.3,0,0,0,3,0,1
371,1,,25.0,1,0,55.4417,1,0,0,3,0,2
372,0,,18.0,1,0,6.4958,1,0,1,3,0,2
373,0,,19.0,0,0,8.05,0,0,1,3,0,1
374,0,,22.0,0,0,135.6333,0,0,0,3,0,1
375,0,,3.0,3,1,21.075,4,0,1,3,0,5
376,1,,29.69911764705882,1,0,82.1708,1,0,0,3,0,2
377,1,,22.0,0,0,7.25,0,0,1,3,0,1
378,0,,27.0,0,2,211.5,2,0,0,3,0,3
379,0,,20.0,0,0,4.0125,0,0,0,3,0,1
380,0,,19.0,0,0,7.775,0,0,1,3,0,1
381,1,,42.0,0,0,227.525,0,0,0,3,0,1
382,1,,1.0,0,2,15.7417,2,0,0,3,0,3
383,0,,32.0,0,0,7.925,0,0,1,3,0,1
384,1,,35.0,1,0,52.0,1,0,1,3,0,2
385,0,,29.69911764705882,0,0,7.8958,0,0,1,3,0,1
386,0,,18.0,0,0,73.5,0,0,1,2,0,1
387,0,,1.0,5,2,46.9,7,0,1,3,0,8
388,1,,36.0,0,0,13.0,0,0,1,2,0,1
389,0,,29.69911764705882,0,0,7.7292,0,1,0,3,0,1
390,1,,17.0,0,0,12.0,0,0,0,2,0,1
391,1,,36.0,1,2,120.0,3,0,1,3,0,4
392,1,,21.0,0,0,7.7958,0,0,1,3,0,1
393,0,,28.0,2,0,7.925,2,0,1,3,0,3
394,1,,23.0,1,0,113.275,1,0,0,3,0,2
395,1,,24.0,0,2,16.7,2,0,1,3,0,3
396,0,,22.0,0,0,7.7958,0,0,1,3,0,1
397,0,,31.0,0,0,7.8542,0,0,1,3,0,1
398,0,,46.0,0,0,26.0,0,0,1,2,0,1
399,0,,23.0,0,0,10.5,0,0,1,2,0,1
400,1,,28.0,0,0,12.65,0,0,1,2,0,1
401,1,,39.0,0,0,7.925,0,0,1,3,0,1
402,0,,26.0,0,0,8.05,0,0,1,3,0,1
403,0,,21.0,1,0,9.825,1,0,1,3,0,2
404,0,,28.0,1,0,15.85,1,0,1,3,0,2
405,0,,20.0,0,0,8.6625,0,0,1,3,0,1
406,0,,34.0,1,0,21.0,1,0,1,2,0,2
407,0,,51.0,0,0,7.75,0,0,1,3,0,1
408,1,,3.0,1,1,18.75,2,0,1,2,0,3
409,0,,21.0,0,0,7.775,0,0,1,3,0,1
410,0,,29.69911764705882,3,1,25.4667,4,0,1,3,0,5
411,0,,29.69911764705882,0,0,7.8958,0,0,1,3,0,1
412,0,,29.69911764705882,0,0,6.8583,0,1,0,3,0,1
413,1,,33.0,1,0,90.0,1,1,0,3,0,2
414,0,,29.69911764705882,0,0,0.0,0,0,1,2,0,1
415,1,,44.0,0,0,7.925,0,0,1,3,0,1
416,0,,29.69911764705882,0,0,8.05,0,0,1,3,0,1
417,1,,34.0,1,1,32.5,2,0,1,2,0,3
418,1,,18.0,0,2,13.0,2,0,1,2,0,3
419,0,,30.0,0,0,13.0,0,0,1,2,0,1
420,0,,10.0,0,2,24.15,2,0,1,3,0,3
421,0,,29.69911764705882,0,0,7.8958,0,0,0,3,0,1
422,0,,21.0,0,0,7.7333,0,1,0,3,0,1
423,0,,29.0,0,0,7.875,0,0,1,3,0,1
424,0,,28.0,1,1,14.4,2,0,1,3,0,3
425,0,,18.0,1,1,20.2125,2,0,1,3,0,3
426,0,,29.69911764705882,0,0,7.25,0,0,1,3,0,1
427,1,,28.0,1,0,26.0,1,0,1,2,0,2
428,1,,19.0,0,0,26.0,0,0,1,2,0,1
429,0,,29.69911764705882,0,0,7.75,0,1,0,3,0,1
430,1,,32.0,0,0,8.05,0,0,1,3,0,1
431,1,,28.0,0,0,26.55,0,0,1,3,0,1
432,1,,29.69911764705882,1,0,16.1,1,0,1,3,0,2
433,1,,42.0,1,0,26.0,1,0,1,2,0,2
434,0,,17.0,0,0,7.125,0,0,1,3,0,1
435,0,,50.0,1,0,55.9,1,0,1,3,0,2
436,1,,14.0,1,2,120.0,3,0,1,3,0,4
437,0,,21.0,2,2,34.375,4,0,1,3,0,5
438,1,,24.0,2,3,18.75,5,0,1,2,0,6
439,0,,64.0,1,4,263.0,5,0,1,3,0,6
440,0,,31.0,0,0,10.5,0,0,1,2,0,1
441,1,,45.0,1,1,26.25,2,0,1,2,0,3
442,0,,20.0,0,0,9.5,0,0,1,3,0,1
443,0,,25.0,1,0,7.775,1,0,1,3,0,2
444,1,,28.0,0,0,13.0,0,0,1,2,0,1
445,1,,29.69911764705882,0,0,8.1125,0,0,1,3,0,1
446,1,,4.0,0,2,81.8583,2,0,1,3,0,3
447,1,,13.0,0,1,19.5,1,0,1,2,0,2
448,1,,34.0,0,0,26.55,0,0,1,3,0,1
449,1,,5.0,2,1,19.2583,3,0,0,3,0,4
450,1,,52.0,0,0,30.5,0,0,1,3,0,1
451,0,,36.0,1,2,27.75,3,0,1,2,0,4
452,0,,29.69911764705882,1,0,19.9667,1,0,1,3,0,2
453,0,,30.0,0,0,27.75,0,0,0,3,0,1
454,1,,49.0,1,0,89.1042,1,0,0,3,0,2
455,0,,29.69911764705882,0,0,8.05,0,0,1,3,0,1
456,1,,29.0,0,0,7.8958,0,0,0,3,0,1
457,0,,65.0,0,0,26.55,0,0,1,3,0,1
458,1,,29.69911764705882,1,0,51.8625,1,0,1,3,0,2
459,1,,50.0,0,0,10.5,0,0,1,2,0,1
460,0,,29.69911764705882,0,0,7.75,0,1,0,3,0,1
